nome_tabela;unb;cod_sku;desconto
ESPECIAIS_CT;1716000;2008;0.0363
ESPECIAIS_CT;1716000;2538;0.05
ESPECIAIS_CT;1716000;2546;0.05
ESPECIAIS_CT;1716000;2548;0.1
ESPECIAIS_CT;1716000;4141;0.0771
ESPECIAIS_CT;1716000;4143;0.0771
ESPECIAIS_CT;1716000;4193;0.0771
ESPECIAIS_CT;1716000;4198;0.0771
ESPECIAIS_CT;1716000;4262;0.0266
ESPECIAIS_CT;1716000;8037;0.3
ESPECIAIS_CT;1716000;8336;0.0502
ESPECIAIS_CT;1716000;9067;0.0342
ESPECIAIS_CT;1716000;9068;0.0323
ESPECIAIS_CT;1716000;9069;0.0342
ESPECIAIS_CT;1716000;9071;0.026
ESPECIAIS_CT;1716000;9072;0.0323
ESPECIAIS_CT;1716000;9081;0.026
ESPECIAIS_CT;1716000;9083;0.0255
ESPECIAIS_CT;1716000;9224;0.0163
ESPECIAIS_CT;1716000;9259;0.0332
ESPECIAIS_CT;1716000;9320;0.026
ESPECIAIS_CT;1716000;9427;0.0272
ESPECIAIS_CT;1716000;9886;0.0346
ESPECIAIS_CT;1716000;11425;0.0502
ESPECIAIS_CT;1716000;11503;0.0427
ESPECIAIS_CT;1716000;11518;0.0502
ESPECIAIS_CT;1716000;12948;0.0307
ESPECIAIS_CT;1716000;12951;0.1001
ESPECIAIS_CT;1716000;13194;0.1
ESPECIAIS_CT;1716000;13195;0.05
ESPECIAIS_CT;1716000;13196;0.05
ESPECIAIS_CT;1716000;13201;0.1
ESPECIAIS_CT;1716000;13203;0.05
ESPECIAIS_CT;1716000;13205;0.05
ESPECIAIS_CT;1716000;13307;0.1
ESPECIAIS_CT;1716000;13566;0.0501
ESPECIAIS_CT;1716000;13839;0.0362
ESPECIAIS_CT;1716000;14340;0.0501
ESPECIAIS_CT;1716000;14661;0.3
ESPECIAIS_CT;1716000;15321;0.3
ESPECIAIS_CT;1716000;15778;0.0351
ESPECIAIS_CT;1716000;16503;0.069
ESPECIAIS_CT;1716000;17268;0.0176
ESPECIAIS_CT;1716000;17276;0.0176
ESPECIAIS_CT;1716000;17278;0.0176
ESPECIAIS_CT;1716000;17757;0.0189
ESPECIAIS_CT;1716000;17808;0.1
ESPECIAIS_CT;1716000;17810;0.1001
ESPECIAIS_CT;1716000;18135;0.0278
ESPECIAIS_CT;1716000;18490;0.0932
ESPECIAIS_CT;1716000;18673;0.05
ESPECIAIS_CT;1716000;18677;0.05
ESPECIAIS_CT;1716000;18678;0.0501
ESPECIAIS_CT;1716000;18682;0.0275
ESPECIAIS_CT;1716000;18764;0.0932
ESPECIAIS_CT;1716000;18765;0.0932
ESPECIAIS_CT;1716000;18780;0.1001
ESPECIAIS_CT;1716000;18807;0.0501
ESPECIAIS_CT;1716000;18833;0.0501
ESPECIAIS_CT;1716000;18836;0.1001
ESPECIAIS_CT;1716000;19266;0.0275
ESPECIAIS_CT;1716000;19644;0.0323
ESPECIAIS_CT;1716000;19668;0.0266
ESPECIAIS_CT;1716000;19729;0.0239
ESPECIAIS_CT;1716000;20072;0.0218
ESPECIAIS_CT;1716000;20217;0.0502
ESPECIAIS_CT;1716000;20329;0.1
ESPECIAIS_CT;1716000;20498;0.0315
ESPECIAIS_CT;1716000;20530;0.0501
ESPECIAIS_CT;1716000;20533;0.1
ESPECIAIS_CT;1716000;20535;0.0501
ESPECIAIS_CT;1716000;20544;0.1001
ESPECIAIS_CT;1716000;20549;0.1
ESPECIAIS_CT;1716000;20647;0.0362
ESPECIAIS_CT;1716000;20651;0.0214
ESPECIAIS_CT;1716000;20853;0.0181
ESPECIAIS_CT;1716000;21020;0.0315
ESPECIAIS_CT;1716000;21119;0.0501
ESPECIAIS_CT;1716000;21275;0.1001
ESPECIAIS_CT;1716000;21501;0.0176
ESPECIAIS_CT;1716000;21632;0.1
ESPECIAIS_CT;1716000;21658;0.0266
ESPECIAIS_CT;1716000;21668;0.1001
ESPECIAIS_CT;1716000;21678;0.0189
ESPECIAIS_CT;1716000;21934;0.046
ESPECIAIS_CT;1716000;21946;0.0341
ESPECIAIS_CT;1716000;22027;0.0189
ESPECIAIS_CT;1716000;22177;0.0278
ESPECIAIS_CT;1716000;22180;0.1
ESPECIAIS_CT;1716000;22235;0.0244
ESPECIAIS_CT;1716000;23033;0.3
ESPECIAIS_CT;1716000;23035;0.3
ESPECIAIS_CT;1716000;23037;0.3
ESPECIAIS_CT;1716000;23186;0.1001
ESPECIAIS_CT;1716000;23193;0.0501
ESPECIAIS_CT;1716000;23194;0.0501
ESPECIAIS_CT;1716000;23216;0.0932
ESPECIAIS_CT;1716000;23218;0.0176
ESPECIAIS_CT;1716000;23269;0.0501
ESPECIAIS_CT;1716000;23271;0.0501
ESPECIAIS_CT;1716000;23282;0.3
ESPECIAIS_CT;1716000;23449;0.0502
ESPECIAIS_CT;1716000;23450;0.0502
ESPECIAIS_CT;1716000;23451;0.0502
ESPECIAIS_CT;1716000;24168;0.0223
ESPECIAIS_CT;1716000;24479;0.026
ESPECIAIS_CT;1716000;26204;0.0342
ESPECIAIS_CT;1716000;27686;0.05
ESPECIAIS_CT;1716000;27704;0.05
ESPECIAIS_CT;1716000;28137;0.0501
ESPECIAIS_CT;1716000;29253;0.05
ESPECIAIS_CT;1716000;29485;0.0501
ESPECIAIS_CT;1716000;29580;0.05
ESPECIAIS_CT;1716000;29703;0.1
ESPECIAIS_CT;1716000;29974;0.05
ESPECIAIS_CT;1716000;29991;0.0501
ESPECIAIS_CT;1716000;30103;0.0279
ESPECIAIS_CT;1716000;31051;0.0279
ESPECIAIS_CT;1716000;31075;0.0279
ESPECIAIS_CT;1716000;31108;0.05
ESPECIAIS_CT;1716000;32349;0.0501
ESPECIAIS_CT;1716000;32361;0.0501
ESPECIAIS_CT;1716000;32419;0.05
ESPECIAIS_CT;1716000;32947;0.0502
FARMA_SPORT;1716000;279;0.0271
FARMA_SPORT;1716000;371;0.0214
FARMA_SPORT;1716000;620;0.0214
FARMA_SPORT;1716000;982;0.0623
FARMA_SPORT;1716000;988;0.0653
FARMA_SPORT;1716000;1388;0.0552
FARMA_SPORT;1716000;1493;0.0351
FARMA_SPORT;1716000;1695;0.0579
FARMA_SPORT;1716000;1699;0.0299
FARMA_SPORT;1716000;1743;0.0579
FARMA_SPORT;1716000;1745;0.0275
FARMA_SPORT;1716000;1898;0.028
FARMA_SPORT;1716000;2006;0.0652
FARMA_SPORT;1716000;2008;0.0363
FARMA_SPORT;1716000;2538;0.0653
FARMA_SPORT;1716000;4141;0.0771
FARMA_SPORT;1716000;4143;0.0771
FARMA_SPORT;1716000;4193;0.0771
FARMA_SPORT;1716000;4198;0.0771
FARMA_SPORT;1716000;4262;0.0266
FARMA_SPORT;1716000;9067;0.0342
FARMA_SPORT;1716000;9068;0.0323
FARMA_SPORT;1716000;9069;0.0342
FARMA_SPORT;1716000;9071;0.026
FARMA_SPORT;1716000;9072;0.0323
FARMA_SPORT;1716000;9081;0.026
FARMA_SPORT;1716000;9083;0.0255
FARMA_SPORT;1716000;9224;0.0163
FARMA_SPORT;1716000;9259;0.0332
FARMA_SPORT;1716000;9320;0.026
FARMA_SPORT;1716000;9427;0.0272
FARMA_SPORT;1716000;9886;0.0346
FARMA_SPORT;1716000;11503;0.0427
FARMA_SPORT;1716000;12948;0.0307
FARMA_SPORT;1716000;12951;0.0249
FARMA_SPORT;1716000;13201;0.069
FARMA_SPORT;1716000;13203;0.069
FARMA_SPORT;1716000;13205;0.069
FARMA_SPORT;1716000;13566;0.0204
FARMA_SPORT;1716000;13839;0.0362
FARMA_SPORT;1716000;14340;0.0292
FARMA_SPORT;1716000;15778;0.0351
FARMA_SPORT;1716000;16503;0.069
FARMA_SPORT;1716000;17268;0.0176
FARMA_SPORT;1716000;17276;0.0176
FARMA_SPORT;1716000;17278;0.0176
FARMA_SPORT;1716000;17757;0.0189
FARMA_SPORT;1716000;17808;0.0217
FARMA_SPORT;1716000;18135;0.0278
FARMA_SPORT;1716000;18490;0.0932
FARMA_SPORT;1716000;18673;0.069
FARMA_SPORT;1716000;18677;0.0623
FARMA_SPORT;1716000;18678;0.0552
FARMA_SPORT;1716000;18682;0.0275
FARMA_SPORT;1716000;18764;0.0932
FARMA_SPORT;1716000;18765;0.0932
FARMA_SPORT;1716000;18780;0.0247
FARMA_SPORT;1716000;18807;0.0204
FARMA_SPORT;1716000;18833;0.0278
FARMA_SPORT;1716000;18836;0.0178
FARMA_SPORT;1716000;19266;0.0275
FARMA_SPORT;1716000;19644;0.0323
FARMA_SPORT;1716000;19668;0.0266
FARMA_SPORT;1716000;19729;0.0239
FARMA_SPORT;1716000;20072;0.0218
FARMA_SPORT;1716000;20498;0.0315
FARMA_SPORT;1716000;20544;0.026
FARMA_SPORT;1716000;20647;0.0362
FARMA_SPORT;1716000;20651;0.0214
FARMA_SPORT;1716000;20853;0.0181
FARMA_SPORT;1716000;21020;0.0315
FARMA_SPORT;1716000;21119;0.0204
FARMA_SPORT;1716000;21501;0.0176
FARMA_SPORT;1716000;21632;0.0212
FARMA_SPORT;1716000;21658;0.0266
FARMA_SPORT;1716000;21678;0.0189
FARMA_SPORT;1716000;21934;0.046
FARMA_SPORT;1716000;21946;0.0341
FARMA_SPORT;1716000;22027;0.0189
FARMA_SPORT;1716000;22177;0.0278
FARMA_SPORT;1716000;22180;0.0217
FARMA_SPORT;1716000;22235;0.0244
FARMA_SPORT;1716000;23216;0.0932
FARMA_SPORT;1716000;23218;0.0176
FARMA_SPORT;1716000;23269;0.0164
FARMA_SPORT;1716000;23271;0.0164
FARMA_SPORT;1716000;24168;0.0223
FARMA_SPORT;1716000;24479;0.026
FARMA_SPORT;1716000;26204;0.0342
FARMA_SPORT;1716000;28137;0.0204
FARMA_SPORT;1716000;29485;0.0164
FARMA_SPORT;1716000;29580;0.0198
FARMA_SPORT;1716000;29991;0.0164
FARMA_SPORT;1716000;30103;0.0279
FARMA_SPORT;1716000;31051;0.0279
FARMA_SPORT;1716000;31075;0.0279
FARMA_SPORT;1716000;32349;0.0204
